%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.type
51007000000,50,51007000000,sim_sensor,624.0,-1.77741624905,3.34719172815,0.0634970876704,-6.88791046957e-07,-8.47069583394e-07,0.691970277886,0.721925989643,
52009000000,51,52009000000,sim_sensor,657.0,-1.75623704198,3.84679575651,0.0634972399222,-1.50641675513e-06,1.98053335345e-06,0.691970564428,0.721925714986,
53008000000,52,53008000000,sim_sensor,603.0,-1.73506029475,4.34636996469,0.0634977017281,-6.51515734935e-07,3.7809318929e-07,0.691972773876,0.721923597214,
54008000000,53,54008000000,sim_sensor,597.0,-1.71388095333,4.84603649774,0.0634966956524,-1.22773611076e-06,2.00768126729e-07,0.691969215102,0.721927008325,
55009000000,54,55009000000,sim_sensor,551.0,-1.63913243667,5.34874113146,0.0634974487839,2.28863775391e-06,1.06183634367e-06,0.459696331105,0.888076169685,
56008000000,55,56008000000,sim_sensor,511.0,-1.24382787166,5.66425806062,0.0634988460027,2.25026755343e-06,8.11808988498e-07,0.105651124284,0.994403258207,
57008000000,56,57008000000,sim_sensor,552.0,-0.749435854925,5.69822495916,0.0634973583308,-9.20849601122e-07,1.07606096381e-06,-0.00400851172453,0.999991965884,
58008000000,57,58008000000,sim_sensor,518.0,-0.249455702082,5.69420298991,0.0634976827011,-3.3910337553e-07,1.22482542842e-06,-0.00403167693101,0.999991872757,
59007000000,58,59007000000,sim_sensor,505.0,0.250585245525,5.69017976,0.0634974520982,4.65195108854e-07,9.32981706751e-07,-0.00401475450318,0.99999194084,
60012000000,59,60012000000,sim_sensor,490.0,0.752090385831,5.68614173516,0.063497111926,-1.7560307275e-06,1.70676303248e-06,-0.00402632188313,0.99999189433,
61009000000,60,61009000000,sim_sensor,416.0,1.25107577189,5.68212538314,0.063497644488,8.66725210192e-08,6.10611870523e-07,-0.00403321064717,0.999991866573,
62008000000,61,62008000000,sim_sensor,355.0,1.7425090454,5.6969260926,0.0634979341773,1.0426343325e-07,1.909578302e-06,-0.188168095327,0.982136837664,
63008000000,62,63008000000,sim_sensor,367.0,2.16938324492,5.43316716788,0.0634979668987,-1.15892219901e-06,-6.55569688047e-08,-0.394213358298,0.919018948737,
64009000000,63,64009000000,sim_sensor,395.0,2.46083043619,5.0038950934,0.0634976296189,-2.32410812625e-06,6.37347382931e-07,-0.648523796292,0.761194380981,
65007000000,64,65007000000,sim_sensor,110.0,2.50351199476,4.46157226167,0.0634975795656,4.45186878597e-07,1.35862047747e-07,-0.692063311454,0.721836804921,
