Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
23.9,0.000115322,NA,NA,NA
24,0.000114363,NA,NA,NA
24.1,0.000113416,NA,NA,NA
24.2,0.000112481,NA,NA,NA
24.3,0.000111557,NA,NA,NA
24.4,0.000110645,NA,NA,NA
24.5,0.000109744,NA,NA,NA
24.6,0.000108853,NA,NA,NA
24.7,0.000107974,NA,NA,NA
24.8,0.000107105,NA,NA,NA
24.9,0.000106247,NA,NA,NA
25,0.000105399,NA,NA,NA
25.1,0.000104561,NA,NA,NA
25.2,0.000103732,NA,NA,NA
25.3,0.000102914,NA,NA,NA
25.4,0.000102106,NA,NA,NA
25.5,0.000101306,NA,NA,NA
25.6,0.000100517,NA,NA,NA
25.7,9.97E-05,NA,NA,NA
25.8,9.90E-05,NA,NA,NA
25.9,9.82E-05,NA,NA,NA
26,9.74E-05,NA,NA,NA
26.1,9.67E-05,NA,NA,NA
26.2,9.60E-05,NA,NA,NA
26.3,9.52E-05,NA,NA,NA
26.4,9.45E-05,NA,NA,NA
26.5,9.38E-05,NA,NA,NA
26.6,9.31E-05,NA,NA,NA
26.7,9.24E-05,NA,NA,NA
26.8,9.17E-05,NA,NA,NA
26.9,9.10E-05,NA,NA,NA
27,9.04E-05,NA,NA,NA
27.1,8.97E-05,NA,NA,NA
27.2,8.90E-05,NA,NA,NA
27.3,8.84E-05,NA,NA,NA
27.4,8.77E-05,NA,NA,NA
27.5,8.71E-05,NA,NA,NA
27.6,8.65E-05,NA,NA,NA
27.7,8.59E-05,NA,NA,NA
27.8,8.52E-05,NA,NA,NA
27.9,8.46E-05,NA,NA,NA
28,8.40E-05,NA,NA,NA
28.1,8.34E-05,NA,NA,NA
28.2,8.28E-05,NA,NA,NA
28.3,8.23E-05,NA,NA,NA
28.4,8.17E-05,NA,NA,NA
28.5,8.11E-05,NA,NA,NA
28.6,8.05E-05,NA,NA,NA
28.7,8.00E-05,NA,NA,NA
28.8,7.94E-05,NA,NA,NA
28.9,7.89E-05,NA,NA,NA
29,7.83E-05,NA,NA,NA
29.1,7.78E-05,NA,NA,NA
29.2,7.73E-05,NA,NA,NA
29.3,7.67E-05,NA,NA,NA
29.4,7.62E-05,NA,NA,NA
29.5,7.57E-05,NA,NA,NA
29.6,7.52E-05,NA,NA,NA
29.7,7.47E-05,NA,NA,NA
29.8,7.42E-05,NA,NA,NA
29.9,7.37E-05,NA,NA,NA
30,7.32E-05,NA,NA,NA
30.1,7.27E-05,NA,NA,NA
30.2,7.22E-05,NA,NA,NA
30.3,7.18E-05,NA,NA,NA
30.4,7.13E-05,NA,NA,NA
30.5,7.08E-05,NA,NA,NA
30.6,7.04E-05,NA,NA,NA
30.7,6.99E-05,NA,NA,NA
30.8,6.94E-05,NA,NA,NA
30.9,6.90E-05,NA,NA,NA
31,6.86E-05,NA,NA,NA
31.1,6.81E-05,NA,NA,NA
31.2,6.77E-05,NA,NA,NA
31.3,6.72E-05,NA,NA,NA
31.4,6.68E-05,NA,NA,NA
31.5,6.64E-05,NA,NA,NA
31.6,6.60E-05,NA,NA,NA
31.7,6.56E-05,NA,NA,NA
31.8,6.51E-05,NA,NA,NA
31.9,6.47E-05,NA,NA,NA
32,6.43E-05,NA,NA,NA
32.1,6.39E-05,NA,NA,NA
32.2,6.35E-05,NA,NA,NA
32.3,6.31E-05,NA,NA,NA
32.4,6.28E-05,NA,NA,NA
32.5,6.24E-05,NA,NA,NA
32.6,6.20E-05,NA,NA,NA
32.7,6.16E-05,NA,NA,NA
32.8,6.12E-05,NA,NA,NA
32.9,6.09E-05,NA,NA,NA
33,6.05E-05,NA,NA,NA
33.1,6.01E-05,NA,NA,NA
33.2,5.98E-05,NA,NA,NA
33.3,5.94E-05,NA,NA,NA
33.4,5.91E-05,NA,NA,NA
33.5,5.87E-05,NA,NA,NA
33.6,5.84E-05,NA,NA,NA
33.7,5.80E-05,NA,NA,NA
33.8,5.77E-05,NA,NA,NA
33.9,5.73E-05,NA,NA,NA
34,5.70E-05,NA,NA,NA
34.1,5.67E-05,NA,NA,NA
34.2,5.63E-05,NA,NA,NA
34.3,5.60E-05,NA,NA,NA
34.4,5.57E-05,NA,NA,NA
34.5,5.53E-05,NA,NA,NA
34.6,5.50E-05,NA,NA,NA
34.7,5.47E-05,NA,NA,NA
34.8,5.44E-05,NA,NA,NA
34.9,5.41E-05,NA,NA,NA
35,5.38E-05,3.41E-05,2.07E-05,NA
35.1,5.35E-05,3.39E-05,2.06E-05,NA
35.2,5.32E-05,3.37E-05,2.05E-05,NA
35.3,5.29E-05,3.35E-05,2.03E-05,NA
35.4,5.26E-05,3.33E-05,2.02E-05,NA
35.5,5.23E-05,3.31E-05,2.01E-05,NA
35.6,5.20E-05,3.30E-05,2.00E-05,NA
35.7,5.17E-05,3.28E-05,1.99E-05,NA
35.8,5.14E-05,3.26E-05,1.98E-05,NA
35.9,5.11E-05,3.24E-05,1.97E-05,NA
36,5.08E-05,3.22E-05,1.96E-05,NA
36.1,5.06E-05,3.21E-05,1.95E-05,NA
36.2,5.03E-05,3.19E-05,1.93E-05,NA
36.3,5.00E-05,3.17E-05,1.92E-05,NA
36.4,4.97E-05,3.15E-05,1.91E-05,NA
36.5,4.94E-05,3.14E-05,1.90E-05,NA
36.6,4.92E-05,3.12E-05,1.89E-05,NA
36.7,4.89E-05,3.10E-05,1.88E-05,NA
36.8,4.86E-05,3.08E-05,1.87E-05,NA
36.9,4.84E-05,3.07E-05,1.86E-05,NA
37,4.81E-05,3.05E-05,1.85E-05,NA
37.1,4.79E-05,3.03E-05,1.84E-05,NA
37.2,4.76E-05,3.02E-05,1.83E-05,NA
37.3,4.74E-05,3.00E-05,1.82E-05,NA
37.4,4.71E-05,2.99E-05,1.81E-05,NA
37.5,4.68E-05,2.97E-05,1.80E-05,NA
37.6,4.66E-05,2.95E-05,1.79E-05,NA
37.7,4.64E-05,2.94E-05,1.78E-05,NA
37.8,4.61E-05,2.92E-05,1.77E-05,NA
37.9,4.59E-05,2.91E-05,1.76E-05,NA
38,4.56E-05,2.89E-05,1.76E-05,NA
38.1,4.54E-05,2.88E-05,1.75E-05,NA
38.2,4.51E-05,2.86E-05,1.74E-05,NA
38.3,4.49E-05,2.85E-05,1.73E-05,NA
38.4,4.47E-05,2.83E-05,1.72E-05,NA
38.5,4.44E-05,2.82E-05,1.71E-05,NA
38.6,4.42E-05,2.80E-05,1.70E-05,NA
38.7,4.40E-05,2.79E-05,1.69E-05,NA
38.8,4.38E-05,2.77E-05,1.68E-05,NA
38.9,4.35E-05,2.76E-05,1.67E-05,NA
39,4.33E-05,2.75E-05,1.67E-05,NA
39.1,4.31E-05,2.73E-05,1.66E-05,NA
39.2,4.29E-05,2.72E-05,1.65E-05,NA
39.3,4.27E-05,2.70E-05,1.64E-05,NA
39.4,4.24E-05,2.69E-05,1.63E-05,NA
